id	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
220						0.2			0.1			0.15	0.06	0.07	0.14	0.1	0.055	0.062	0.031	0.013	
221		0	0.15	0.12	0.07																
222		0.1						0.035					1	0.1	0.1			0.1	0.2	0.3	
223		0.1	0.05				0.1	0.04	0.04	0.05	0.07			0.05			0.025	0.02		0.03	
224		0.13024										0.05	0.1	0.01		0.01	0.01				
225			0.015						0.2	0.1	0.15	0.5	0.4		0.2	0.2	0.15	0.2	0.3	0.8	
226	0	0.35	0.35	0.25	0.35	0.5	0.35	0.35	0.425		0.1		0.03		0.02		0.03	0.08	0.1	0.102723	
227		0.15																			
228		0.04	0.03	0.03	0.03	0.05			0.02			0.02	0					0.1	0		
229	0.3	0.2				0.05	0.03	0.03	0.03	0.03	0	0.05	0.03	0.05	0.03	0.03	0.02	0.02		0.02	
230			0.077	0.077	0.11	0.14	0.07	0.1	0.05	0.05	0.07	0.1	0.07	0.07	0.07	0.07	0.07	0.07	0.08	0.08	
231			0.05												0.05	0.06	0.1		0.072		
232	0.2	0.2	0.4		0.3	0.2	0.05	0.05	0.05												
233		0.08								0.02	0.05	0.12		0.1	0.1	0.2	0.1	0.2	0.1	0.3	
234		0.01		0.05											0.15	0.15	0.18	0.18	0.18	0.25	
235			0.1	0.06			0.06				0.15		0.03	0.013	0.085						
236											0.11			0.2	0.015	0.005		0.1			
237		0.1	0.05	0	0.01	0.02						0					0.01	0.03	0.05	0.03	
238		0	0.318	0.3	0.375	0.375	0.3	0.3718	0.22223	0.2	0.25	0.25	0.28	0.28	0.38	0.5	0.5	0.5	0.5	0.5	
239	0.1	0.1	0.1	0.08		0.05											0				
240	0.2	0.2	0.2	0.12	0.18	0.06	0.15	0.13	0.15	0.15	0.16	0.2	0.21	0.11	0.08	0.08	0.07	0.036	0.02	0.022	
241	0.025	0.1	0.2	0.2	0.35	0.45	0.48	0.6	0	0.15	0.07	0.1	0.2	0.2	0.06				0.08	0.15	
242			0.1	0												0.2	0.1	0.1	0.22	0.22	
243		0.2	0.1					0.1					0.04	0.04	0.02	0.03	0.03	0.04	0.05	0.05	
244															0.02	0.02				0.02	
245			0.05												0.02	0.02	0.02	0.02	0.52	0.19	
246		0.2	0.1					0													
247														0.021	0.02	0.017	0.02	0.02	0.035	0.04	
248				0.05	0.05	0.05	0.05	0.05		0.02	0.02	0.02		0	0.01	0.085	0.055	0.069	0.065	0.11	
249			0.05																		
250	0	0.04		0.03						0.02	0.01	0.01	0.02	0.01	0.05	0.01	0.05	0.02	0.01		
251			0.2			0.1						0.05		0.02	0.05	0		0.03		0.03	
252		0.15	0.125	0.125				0.15	0.15												
253	0.04	0.08	0.08	0.06	0.04		0.05	0.02	0.03	0.03	0.05	0.05	0.03	0.01	0.02	0.02	0.02		0.05	0.1	
254		0.08			0							0									
